State,County,Name,Contact Info,Billing Street 1,City,State,Zipcode,Types Accepted,Restrictions,Transportation,Steps,URL,Donation link,Counties served
Louisiana,Jefferson Parish,Second Harvest Food Bank of Greater New Orleans and Acadiana,504.734.1322,700 Edwards Avenue,New Orleans,LA,70123,,,,,no-hunger.org/,https://secure2.convio.net/shfbgn/site/Donation2?df_id=3736&mfc_pref=T&3736.donation=form1,"Acadia, Beauregard, Calcasieu, Cameron, Evangeline, Iberia, Jefferson, Jefferson Davis, Lafayette, Lafourche, Orleans, Plaquemines, St. Bernard, St. Charles, St. John The Baptist, St. Landry, St. Martin, St. Mary, St. Tammany, Tangipahoa, Terrebonne, Vermilion, Washington"
Louisiana,Caddo Parish,Food Bank of Northwest Louisiana,318.675.2400,2307 Texas Avenue,Shreveport,LA,71103,,,,,www.foodbanknla.org/,https://www.foodbanknla.org/donate.html,"Bienville, Bossier, Caddo, Claiborne, De Soto, Red River, Webster"
Massachusetts,Suffolk County,The Greater Boston Food Bank,617.427.5200,70 South Bay Ave,Boston,MA,02118,,,,,www.gbfb.org,https://www.gbfb.org/ways-to-give/,"Barnstable, Bristol, Dukes, Essex, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk"
Massachusetts,Hampshire County,The Food Bank of Western Massachusetts,413.247.9738,"97 North Hatfield Road, PO Box 160",Hatfield,MA,01038,,,,,www.foodbankwma.org/,https://secure.foodbankwma.org/site/Donation2?df_id=1500&mfc_pref=T&1500.donation=form1,"Berkshire, Franklin, Hampden, Hampshire"
Massachusetts,Worcester County,"Worcester County Food Bank, Inc.",508.842.3663,474 Boston Turnpike,Shrewsbury,MA,01545,,,,,foodbank.org/,https://foodbank.org/donate/donate-funds/,Worcester
Maryland,Baltimore County,Maryland Food Bank,410.737.8282,2200 Halethorpe Farms Road,Baltimore,MD,21227,,,,,www.mdfoodbank.org,https://www.mdfoodbank.org/donate/,"Allegany, Anne Arundel, Baltimore, Calvert, Caroline, Carroll, Cecil, Charles, Dorchester, Frederick, Garrett, Harford, Howard, Kent, Queen Anne'S, St. Mary'S, Somerset, Talbot, Washington, Wicomico, Worcester, Baltimore (City)"
Maine,Androscoggin County,Good Shepherd Food Bank,207.782.3554,"3121 Hotel Road, PO Box 1807",Auburn,ME,04211,,,,,www.gsfb.org,https://www.gsfb.org/get-involved/donate/,"Androscoggin, Aroostook, Cumberland, Franklin, Hancock, Kennebec, Knox, Lincoln, Oxford, Penobscot, Piscataquis, Sagadahoc, Somerset, Waldo, Washington, York"
Michigan,Washtenaw County,Food Gatherers,734.761.2796,"1 Carrot Way, P.O. Box 131037",Ann Arbor,MI,48105,,,,,www.foodgatherers.org,https://www.giveffect.com/checkout/4131?wl=1,Washtenaw
Michigan,Clinton County,Greater Lansing Food Bank,517.853.7800,5600 Food Court,Bath,MI,48808,,,,,greaterlansingfoodbank.org/,https://greaterlansingfoodbank.org/give/give-money,"Clare, Clinton, Eaton, Gratiot, Ingham, Isabella, Shiawassee"
Michigan,Calhoun County,South Michigan Food Bank,269.964.3663,5451 Wayne Road,Battle Creek,MI,49037,,,,,smfoodbank.org/,https://smfoodbank.org/donate/,"Barry, Branch, Calhoun, Hillsdale, Jackson, Kalamazoo, Lenawee, St. Joseph"
Michigan,Kent County,Feeding America West Michigan,616.784.3250,864 West River Center Drive NE,Comstock Park,MI,49321,,,,,www.FeedWM.org,https://www.feedwm.org/donate/,"Alger, Allegan, Antrim, Baraga, Benzie, Berrien, Cass, Charlevoix, Chippewa, Delta, Dickinson, Emmet, Gogebic, Grand Traverse, Houghton, Ionia, Iron, Kalkaska, Kent, Keweenaw, Lake, Leelanau, Luce, Mackinac, Manistee, Marquette, Mason, Mecosta, Menominee, Missaukee, Montcalm, Muskegon, Newaygo, Oceana, Ontonagon, Osceola, Ottawa, Schoolcraft, Van Buren, Wexford"
Michigan,Wayne County,Gleaners Community Food Bank of Southeastern Michigan,313.923.3535,2131 Beaufait Street,Detroit,MI,48207,,,,,www.gcfb.org,https://www.gcfb.org/give-money/,"Livingston, Macomb, Monroe, Oakland, Wayne"
Michigan,Genesee County,Food Bank of Eastern Michigan,810.239.4441,2300 Lapeer Road,Flint,MI,48503,,,,,www.fbem.org/,https://www.fbem.org/donate-fb/,"Alcona, Alpena, Arenac, Bay, Cheboygan, Crawford, Genesee, Gladwin, Huron, Iosco, Lapeer, Midland, Montmorency, Ogemaw, Oscoda, Otsego, Presque Isle, Roscommon, Saginaw, St. Clair, Sanilac, Tuscola"
Michigan,Oakland County,Forgotten Harvest,248.967.1500,15000 W. Eight Mile Rd.,Oak Park,MI,48237,,,,,www.forgottenharvest.org/,https://www.forgottenharvest.org/donate/,"Macomb, Oakland, Wayne"
Minnesota,Hennepin County,Second Harvest Heartland,651.484.5117,7101 Winnetka Avenue N.,Brooklyn Park,MN,55428,,,,,www.2harvest.org,https://secure3.convio.net/shh/site/Donation2?df_id=21069&21069.donation=form1&_ga=2.258475970.930862896.1619630898-413674444.1617672587,"Anoka, Benton, Big Stone, Blue Earth, Brown, Carver, Chippewa, Chisago, Cottonwood, Dakota, Hennepin, Isanti, Jackson, Kandiyohi, Lac Qui Parle, Le Sueur, Lincoln, Lyon, Mc Leod, Martin, Meeker, Morrison, Murray, Nicollet, Nobles, Pine, Pipestone, Ramsey, Redwood, Renville, Rock, Scott, Sherburne, Sibley, Stearns, Swift, Todd, Washington, Watonwan, Wright, Yellow Medicine, Barron, Buffalo, Burnett, Chippewa, Clark, Dunn, Eau Claire, Jackson, Pepin, Pierce, Polk, Price, Rusk, St. Croix, Sawyer, Taylor, Trempealeau, Washburn"
Minnesota,St. Louis County,Second Harvest Northern Lakes Food Bank,218.727.5653,4503 Airpark Boulevard,Duluth,MN,55811,,,,,www.northernlakesfoodbank.org,https://northernlakesfoodbank.org/donation/,"Carlton, Cook, Lake, St. Louis, Ashland, Bayfield, Douglas, Iron"
Minnesota,Polk County,"North Country Food Bank, Inc.",218.399.7356,1011 11th Ave. NE,East Grand Forks,MN,56721,,,,,northcountryfoodbank.org,https://www.northcountryfoodbank.org/donate.html,"Becker, Beltrami, Clearwater, Douglas, Grant, Hubbard, Kittson, Lake Of The Woods, Mahnomen, Marshall, Norman, Otter Tail, Pennington, Polk, Pope, Red Lake, Roseau, Stevens, Traverse, Wadena, Wilkin"
Minnesota,Itasca County,Second Harvest North Central Food Bank,218.326.4420,"2222 Cromell Drive, PO Box 5130",Grand Rapids,MN,55744,,,,,www.secondharvestncfb.com,https://secondharvestncfb.com/get-involved/donate/,"Aitkin, Cass, Crow Wing, Itasca, Kanabec, Koochiching, Mille Lacs"
Minnesota,Olmsted County,Channel One Food Bank,507.287.2350,"131 35th Street, SE",Rochester,MN,55904,,,,,www.helpingfeedpeople.org,https://www.helpingfeedpeople.org/donate/donate-paypal/,"Dodge, Faribault, Fillmore, Freeborn, Goodhue, Houston, Mower, Olmsted, Rice, Steele, Wabasha, Waseca, Winona, La Crosse"
Missouri,St. Louis County,St. Louis Area Foodbank,314.292.6262,70 Corporate Woods Drive,Bridgeton,MO,63044,,,,,stlfoodbank.org/,https://stlfoodbank.org/financial-support/,"Calhoun, Clinton, Franklin, Jackson, Jersey, Madison, Monroe, Perry, Randolph, St. Clair, Washington, Williamson, Crawford, Franklin, Gasconade, Iron, Jefferson, Lincoln, Montgomery, Pike, St. Charles, St. Francois, St. Louis, Warren, Washington, Saint Louis City (City)"
Missouri,Boone County,The Food Bank for Central & Northeast Missouri,573.474.1020,"2101 Vandiver Drive, Suite B",Columbia,MO,65202,,,,,www.sharefoodbringhope.org,https://interland3.donorperfect.net/weblink/weblink.aspx?name=E164454&id=97,"Adair, Audrain, Benton, Boone, Callaway, Camden, Chariton, Clark, Cole, Cooper, Howard, Knox, Lewis, Linn, Macon, Maries, Marion, Miller, Moniteau, Monroe, Morgan, Osage, Pettis, Phelps, Putnam, Ralls, Randolph, Saline, Schuyler, Scotland, Shelby, Sullivan"
Missouri,Jackson County,Harvesters - The Community Food Network,816.929.3000,3801 Topping Avenue,Kansas City,MO,64129,,,,,www.harvesters.org/,https://www.harvesters.org/how-to-help,"Clay, Douglas, Franklin, Jackson, Jefferson, Johnson, Marshall, Miami, Nemaha, Osage, Pottawatomie, Riley, Shawnee, Wabaunsee, Washington, Wyandotte, Bates, Carroll, Cass, Clay, Henry, Jackson, Johnson, Lafayette, Platte, Ray"
Missouri,Scott County,Southeast Missouri Food Bank,855.703.3663,"600 State Highway H, PO Box 190",Sikeston,MO,63801,,,,,www.semofoodbank.org,https://www.semofoodbank.org/donate-money/,"Bollinger, Butler, Cape Girardeau, Carter, Dunklin, Madison, Mississippi, New Madrid, Pemiscot, Perry, Reynolds, Ripley, Sainte Genevieve, Scott, Stoddard, Wayne"
Missouri,Greene County,Ozarks Food Harvest,417.865.3411,2810 N. Cedarbrook Ave,Springfield,MO,65803,,,,,www.ozarksfoodharvest.org,https://ozarksfoodharvest.org/donate-money/,"Barry, Barton, Cedar, Christian, Dade, Dallas, Dent, Douglas, Greene, Hickory, Howell, Jasper, Laclede, Lawrence, Mc Donald, Newton, Oregon, Ozark, Polk, Pulaski, St. Clair, Shannon, Stone, Taney, Texas, Vernon, Webster, Wright"
Missouri,Buchanan County,Second Harvest Community Food Bank,816.364.3663,915 Douglas,St. Joseph,MO,64505,,,,,www.shcfb.org/,https://www.shcfb.org/get-involved/donate/,"Atchison, Brown, Doniphan, Leavenworth, Andrew, Atchison, Buchanan, Caldwell, Clinton, Daviess, Dekalb, Gentry, Grundy, Harrison, Holt, Livingston, Mercer, Nodaway, Worth"
Mississippi,Hinds County,Mississippi Food Network,601.973.7080,"440 W. Beatty Street, PO Box 411 (39205)",Jackson,MS,39201,,,,,www.msfoodnet.org,https://donate.msfoodnet.org/MFNMS/homepage,"Adams, Amite, Attala, Bolivar, Calhoun, Carroll, Chickasaw, Choctaw, Claiborne, Clarke, Clay, Copiah, Covington, Forrest, Franklin, Grenada, Hinds, Holmes, Humphreys, Issaquena, Jasper, Jefferson, Jefferson Davis, Jones, Kemper, Lamar, Lauderdale, Lawrence, Leake, Leflore, Lincoln, Lowndes, Madison, Marion, Montgomery, Neshoba, Newton, Noxubee, Oktibbeha, Pike, Rankin, Scott, Sharkey, Simpson, Smith, Sunflower, Tallahatchie, Walthall, Warren, Washington, Wayne, Webster, Wilkinson, Winston, Yalobusha, Yazoo"
Montana,Missoula County,Montana Food Bank Network,406.721.3825,5625 Expressway,Missoula,MT,59808,,,,,www.mfbn.org,https://mfbn.org/donate,"Beaverhead, Big Horn, Blaine, Broadwater, Carbon, Carter, Cascade, Chouteau, Custer, Daniels, Dawson, Deer Lodge, Fallon, Fergus, Flathead, Gallatin, Garfield, Glacier, Golden Valley, Granite, Hill, Jefferson, Judith Basin, Lake, Lewis And Clark, Liberty, Lincoln, Mc Cone, Madison, Meagher, Mineral, Missoula, Musselshell, Park, Petroleum, Phillips, Pondera, Powder River, Powell, Prairie, Ravalli, Richland, Roosevelt, Rosebud, Sanders, Sheridan, Silver Bow, Stillwater, Sweet Grass, Teton, Toole, Treasure, Valley, Wheatland, Wibaux, Yellowstone"
North Carolina,Buncombe County,MANNA FoodBank,828.299.3663,627 Swannanoa River Rd,Asheville,NC,28805,,,,,www.mannafoodbank.org/,https://www.mannafoodbank.org/how-you-can-help/donate/,"Avery, Buncombe, Cherokee, Clay, Graham, Haywood, Henderson, Jackson, Mc Dowell, Macon, Madison, Mitchell, Polk, Swain, Transylvania, Yancey"
North Carolina,Mecklenburg County,Second Harvest Food Bank of Metrolina,704.376.1785,500 B Spratt St.,Charlotte,NC,28206,,,,,www.secondharvestmetrolina.org/,https://www.secondharvestmetrolina.org/donation,"Anson, Burke, Cabarrus, Catawba, Cleveland, Gaston, Iredell, Lincoln, Mecklenburg, Montgomery, Rowan, Rutherford, Stanly, Union, Abbeville, Anderson, Cherokee, Greenwood, Lancaster, Oconee, Pickens, Spartanburg, Union, York"
North Carolina,Pasquotank County,Food Bank of the Albemarle,252.335.4035,"109 Tidewater Way, P. O. Box 1704",Elizabeth City,NC,27906,,,,,afoodbank.org/,https://afoodbank.org/,"Beaufort, Bertie, Camden, Chowan, Currituck, Dare, Gates, Hertford, Hyde, Martin, Northampton, Pasquotank, Perquimans, Tyrrell, Washington"
North Carolina,Cumberland County,Second Harvest Food Bank of Southeast North Carolina,910.485.8809,"406 Deep Creek Road, PO Box 2009",Fayetteville,NC,28302,,,,,hungercantwait.org,https://hungercantwait.org/advocate/give-funds/,"Bladen, Cumberland, Duplin, Harnett, Hoke, Robeson, Sampson"
North Carolina,Wake County,Food Bank of Central & Eastern North Carolina,919.875.0707,1924 Capital Boulevard,Raleigh,NC,27604,,,,,foodbankcenc.org/,https://secure.foodbankcenc.org/site/Donation2?df_id=10523&mfc_pref=T&10523.donation=form1&chosen=60&s_src=navgiveonline&s_subsrc=website,"Brunswick, Carteret, Chatham, Columbus, Craven, Duplin, Durham, Edgecombe, Franklin, Granville, Greene, Halifax, Harnett, Johnston, Jones, Lee, Lenoir, Moore, Nash, New Hanover, Onslow, Orange, Pamlico, Pender, Person, Pitt, Richmond, Sampson, Scotland, Vance, Wake, Warren, Wayne, Wilson"
North Carolina,Wake County,Inter-Faith Food Shuttle,919.250.0043,1001 Blair Drive,Raleigh,NC,27620,,,,,www.foodshuttle.org/,https://www.foodshuttle.org/donatetoday,"Chatham, Durham, Edgecombe, Johnston, Nash, Orange, Wake"
North Carolina,Forsyth County,Second Harvest Food Bank of Northwest North Carolina,336.784.5770,3330 Shorefair Drive,Winston-Salem,NC,27105,,,,,www.secondharvestnwnc.org/,https://secure.qgiv.com/for/wd2/,"Alamance, Alexander, Alleghany, Ashe, Caldwell, Caswell, Davidson, Davie, Forsyth, Guilford, Iredell, Randolph, Rockingham, Stokes, Surry, Watauga, Wilkes, Yadkin"
North Dakota,Cass County,Great Plains Food Bank,701.232.6219,1720 3rd Avenue North,Fargo,ND,58102,,,,,www.greatplainsfoodbank.org/,https://www.greatplainsfoodbank.org/get-involved/donate/,"Clay, Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, La Moure, Logan, Mc Henry, Mc Intosh, Mc Kenzie, Mc Lean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Towner, Traill, Walsh, Ward, Wells, Williams"
Nebraska,Lancaster County,Food Bank of Lincoln,402.466.8170,1221 Kingbird Road,Lincoln,NE,68521,,,,,www.lincolnfoodbank.org/,https://www.lincolnfoodbank.org/give-help/donate-dollars/,"Butler, Fillmore, Gage, Jefferson, Johnson, Lancaster, Nemaha, Otoe, Pawnee, Polk, Richardson, Saline, Saunders, Seward, Thayer, York"
Nebraska,Douglas County,Food Bank for the Heartland,402.331.1213,10525  J Street,Omaha,NE,68127,,,,,foodbankheartland.org/,https://donate.foodbankheartland.org/default.aspx?tsid=9192,"Cass, Cherokee, Crawford, Fremont, Harrison, Ida, Lyon, Mills, Monona, Montgomery, Page, Plymouth, Pottawattamie, Shelby, Sioux, Woodbury, Adams, Antelope, Arthur, Banner, Blaine, Boone, Box Butte, Boyd, Brown, Buffalo, Burt, Cass, Cedar, Chase, Cherry, Cheyenne, Clay, Colfax, Cuming, Custer, Dakota, Dawes, Dawson, Deuel, Dixon, Dodge, Douglas, Dundy, Franklin, Frontier, Furnas, Garden, Garfield, Gosper, Grant, Greeley, Hall, Hamilton, Harlan, Hayes, Hitchcock, Holt, Hooker, Howard, Kearney, Keith, Keya Paha, Kimball, Knox, Lincoln, Logan, Loup, Mc Pherson, Madison, Merrick, Morrill, Nance, Nuckolls, Perkins, Phelps, Pierce, Platte, Red Willow, Rock, Sarpy, Scotts Bluff, Sheridan, Sherman, Sioux, Stanton, Thomas, Thurston, Valley, Washington, Wayne, Webster, Wheeler"
New Hampshire,Hillsborough County,New Hampshire Food Bank,603.669.9725,700 East Industrial Park Drive,Manchester,NH,03109,,,,,www.nhfoodbank.org,https://www.nhfoodbank.org/donation-hub/,"Belknap, Carroll, Cheshire, Coos, Grafton, Hillsborough, Merrimack, Rockingham, Strafford, Sullivan"
New Jersey,Union County,Community FoodBank of New Jersey,908.355.3663,31 Evans Terminal,Hillside,NJ,07205,,,,,cfbnj.org/,https://cfbnj.org/#donate,"Atlantic, Bergen, Cape May, Cumberland, Essex, Hudson, Hunterdon, Mercer, Middlesex, Morris, Passaic, Somerset, Sussex, Union, Warren"
New Jersey,Monmouth County,Fulfill,732.918.2600,3300 Route 66,Neptune,NJ,07753,,,,,fulfillnj.org/,https://fulfillnj.org/ways-to-help/,"Monmouth, Ocean"
New Jersey,Camden County,Food Bank of South Jersey,856.662.4884,1501 John Tipton Boulevard,Pennsauken,NJ,08110,,,,,foodbanksj.org/,https://donate.foodbanksj.org/give/396962/#!/donation/checkout?c_src=feedingamerica,"Burlington, Camden, Gloucester, Salem"
New Mexico,Bernalillo County,Roadrunner Food Bank,505.247.2052,5840 Office Blvd NE,Albuquerque,NM,87109,,,,,www.rrfb.org,https://www.rrfb.org/give/give-funds/,"Bernalillo, Catron, Chaves, Cibola, Colfax, Curry, De Baca, Dona Ana, Eddy, Grant, Guadalupe, Harding, Hidalgo, Lea, Lincoln, Los Alamos, Luna, Mc Kinley, Mora, Otero, Quay, Rio Arriba, Roosevelt, Sandoval, San Juan, San Miguel, Santa Fe, Sierra, Socorro, Taos, Torrance, Union, Valencia"
Nevada,Clark County,Three Square Food Bank,702.644.3663,4190 N. Pecos Rd.,Las Vegas,NV,89115,,,,,www.threesquare.org/,https://www.threesquare.org/how-to-help/give,"Clark, Esmeralda, Lincoln, Nye"
Nevada,Washoe County,Food Bank of Northern Nevada,775.331.3663,550 Italy Dr,Sparks,NV,89437,,,,,fbnn.org/,https://fbnn.org/ways-to-give/,"Inyo, Mono, Churchill, Douglas, Elko, Eureka, Humboldt, Lander, Lyon, Mineral, Pershing, Storey, Washoe, White Pine, Carson City"
New York,Erie County,"FeedMore Western New York, Inc.",716.852.1305,91 Holt Street,Buffalo,NY,14206,,,,,www.feedmorewny.org/,https://www.feedmorewny.org/donate/,"Cattaraugus, Chautauqua, Erie, Niagara"
New York,Chemung County,Food Bank of the Southern Tier,607.796.6061,388 Upper Oakwood Avenue,Elmira,NY,14903,,,,,www.foodbankst.org,https://www.foodbankst.org/ways-to-give/donate/,"Broome, Chemung, Schuyler, Steuben, Tioga, Tompkins"
New York,Westchester County,Feeding Westchester,914.923.1100,200 Clearbrook Road,Elmsford,NY,10523,,,,,feedingwestchester.org/,https://feedingwestchester.org/take-action/donate/,Westchester
New York,Suffolk County,"Long Island Cares, Inc.",631.582.3663,10 Davids Drive,Hauppauge,NY,11788,,,,,www.licares.org/,https://www.licares.org/donate,"Nassau, Suffolk"
New York,Albany County,Regional Food Bank of Northeastern New York,518.786.3691,965 Albany Shaker Rd.,Latham,NY,12110,,,,,regionalfoodbank.net/,https://give.classy.org/foodbankneny,"Albany, Clinton, Columbia, Delaware, Dutchess, Essex, Franklin, Fulton, Greene, Hamilton, Montgomery, Orange, Otsego, Putnam, Rensselaer, Rockland, Saratoga, Schenectady, Schoharie, Sullivan, Ulster, Warren, Washington"
New York,Suffolk County,Island Harvest,516.294.8528,126 Spagnoli Road,Melville,NY,11747,,,,,www.islandharvest.org/,https://www.islandharvest.org/contribute/,"Nassau, Suffolk"
New York,New York County,City Harvest,646.412.0600,"6 East 32nd Street, 5th Fl.",New York,NY,10016,,,,,www.cityharvest.org,https://www.cityharvest.org/give-now/,"Bronx, Kings, New York, Queens, Richmond"
New York,Bronx County,Food Bank For New York City,718.991.4300,355 Food Center Dr.,New York,NY,10474,,,,,www.foodbanknyc.org,https://www.foodbanknyc.org/donate/,"Bronx, Kings, New York, Queens, Richmond"
New York,Monroe County,"Foodlink, Inc.",585.328.3380,1999 Mt. Read Boulevard,Rochester,NY,14615,,,,,www.foodlinkny.org,https://foodlinkny.org/donate/,"Allegany, Genesee, Livingston, Monroe, Ontario, Orleans, Seneca, Wayne, Wyoming, Yates"
New York,Onondaga County,Food Bank of Central New York,315.437.1899,7066 Interstate Island Road,Syracuse,NY,13209,,,,,www.foodbankcny.org,https://www.foodbankcny.org/donate,"Cayuga, Chenango, Cortland, Herkimer, Jefferson, Lewis, Madison, Oneida, Onondaga, Oswego, St. Lawrence"
Ohio,Summit County,Akron-Canton Regional Foodbank,330.535.6900,350 Opportunity Parkway,Akron,OH,44307,,,,,www.akroncantonfoodbank.org,https://www.akroncantonfoodbank.org/donate-money,"Carroll, Holmes, Medina, Portage, Stark, Summit, Tuscarawas, Wayne"
Ohio,Hamilton County,Freestore Foodbank,513.482.4500,1141 Central Parkway,Cincinnati,OH,45202,,,,,www.freestorefoodbank.org,https://secure3.convio.net/fsfb/site/Donation2;jsessionid=00000000.app30103b?df_id=5682&mfc_pref=T&5682.donation=form1&s_src=big_red_button&s_subsrc=fsfb_website&_ga=2.21924731.1904317506.1619633826-1781211649.1617321822,"Dearborn, Ohio, Switzerland, Boone, Bracken, Campbell, Gallatin, Grant, Kenton, Mason, Owen, Pendleton, Adams, Brown, Clermont, Clinton, Hamilton, Highland, Pike, Scioto"
Ohio,Cuyahoga County,"Greater Cleveland Food Bank, Inc.",216.738.2265,15500 South Waterloo Road,Cleveland,OH,44110,,,,,www.GreaterClevelandFoodBank.org,https://www.greaterclevelandfoodbank.org/give-help/donate-food-funds/how-to-give,"Ashland, Ashtabula, Cuyahoga, Geauga, Lake, Richland"
Ohio,Montgomery County,"The Foodbank, Inc.",937.461.0265,56 Armor Place,Dayton,OH,45417,,,,,thefoodbankdayton.org/,https://thefoodbankdayton.org/donate/,"Greene, Montgomery, Preble"
Ohio,Butler County,Shared Harvest Foodbank,513.874.0114,5901 Dixie Highway,Fairfield,OH,45014,,,,,www.sharedharvest.org/,https://www.sharedharvest.org/donate,"Butler, Darke, Miami, Preble, Warren"
Ohio,Franklin County,Mid-Ohio FoodBank,614.277.3663,3960 Brookham Dr.,Grove City,OH,43123,,,,,mofc.org/,https://give.mofc.org/Default.aspx?tsid=18866,"Belmont, Coshocton, Delaware, Fairfield, Fayette, Franklin, Guernsey, Harrison, Jefferson, Knox, Licking, Madison, Marion, Monroe, Morrow, Muskingum, Noble, Pickaway, Ross, Union"
Ohio,Allen County,West Ohio Food Bank,419.222.7946,"1380 East Kibby Street, P.O. Box 1566",Lima,OH,45804,,,,,www.westohiofoodbank.org/,https://www.paypal.com/donate/?cmd=_s-xclick&hosted_button_id=W45RT74DP68WG&source=url,"Allen, Auglaize, Hancock, Hardin, Mercer, Paulding, Putnam, Seneca, Shelby, Van Wert, Wyandot"
Ohio,Hocking County,SE Ohio Foodbank,740.385.6813,1005 CIC Drive,Logan,OH,43138,,,,,hapcap.org/seo-foodbank/,https://hapcap.org/give/,"Athens, Gallia, Hocking, Jackson, Meigs, Morgan, Perry, Vinton, Washington"
Ohio,Lorain County,Second Harvest Food Bank of North Central Ohio,440.960.2265,5510 Baumhart Rd,Lorain,OH,44053,,,,,www.secondharvestfoodbank.org,https://donate.secondharvestfoodbank.org/LOROH/top_right,"Crawford, Erie, Huron, Lorain"
Ohio,Clark County,"Second Harvest Foodbank of Clark, Champaign, & Logan Counties",937.325.8715,20 N Murray,Springfield,OH,45503,,,,,www.theshfb.org/,https://www.theshfb.org/donate,"Champaign, Clark, Logan"
Ohio,Lucas County,Toledo Northwestern Ohio Food Bank,419.242.5000,24 East Woodruff Avenue,Toledo,OH,43604,,,,,www.toledofoodbank.org,https://toledonwohiofoodbank.networkforgood.com/projects/12831-toledo-northwestern-ohio-food-bank,"Defiance, Fulton, Henry, Lucas, Ottawa, Sandusky, Williams, Wood"
Ohio,Mahoning County,Second Harvest Food Bank of the Mahoning Valley,330.792.5522,2805 Salt Springs Road,Youngstown,OH,44509,,,,,www.mahoningvalleysecondharvest.org,https://interland3.donorperfect.net/weblink/weblink.aspx?name=E5208&id=1,"Columbiana, Mahoning, Trumbull"
Oklahoma,Oklahoma County,Regional Food Bank of Oklahoma,405.972.1111,"3355 S. Purdue, PO Box 270968",Oklahoma City,OK,73179,,,,,www.regionalfoodbank.org,https://www.regionalfoodbank.org/ways-to-give/,"Alfalfa, Atoka, Beaver, Beckham, Blaine, Bryan, Caddo, Canadian, Carter, Cimarron, Cleveland, Coal, Comanche, Cotton, Custer, Dewey, Ellis, Garfield, Garvin, Grady, Grant, Greer, Harmon, Harper, Hughes, Jackson, Jefferson, Johnston, Kay, Kingfisher, Kiowa, Lincoln, Logan, Love, Mc Clain, Major, Marshall, Murray, Noble, Okfuskee, Oklahoma, Pawnee, Payne, Pontotoc, Pottawatomie, Roger Mills, Seminole, Stephens, Texas, Tillman, Washita, Woods, Woodward"
Oklahoma,Tulsa County,Food Bank of Eastern Oklahoma,918.585.2800,1304 N. Kenosha Ave.,Tulsa,OK,74106,,,,,okfoodbank.org/,https://okfoodbank.org/donate/,"Adair, Cherokee, Choctaw, Craig, Creek, Delaware, Haskell, Latimer, Le Flore, Mc Curtain, Mc Intosh, Mayes, Muskogee, Nowata, Okmulgee, Osage, Ottawa, Pittsburg, Pushmataha, Rogers, Sequoyah, Tulsa, Wagoner, Washington"
Oregon,Multnomah County,Oregon Food Bank,503.282.0555,7900 NE 33rd Drive,Portland,OR,97211,,,,,www.oregonfoodbank.org/,https://give.oregonfoodbank.org/give/92782/#!/donation/checkout,"Baker, Benton, Clackamas, Clatsop, Columbia, Coos, Crook, Curry, Deschutes, Douglas, Gilliam, Grant, Harney, Hood River, Jackson, Jefferson, Josephine, Klamath, Lake, Lane, Lincoln, Linn, Malheur, Marion, Morrow, Multnomah, Polk, Sherman, Tillamook, Umatilla, Union, Wallowa, Wasco, Washington, Wheeler, Yamhill, Clark"
Pennsylvania,Westmoreland County,Westmoreland Food Bank,724.468.8660,100 Devonshire Drive,Delmont,PA,15626,,,,,www.westmorelandfoodbank.org,https://westmorelandfoodbank.org/donate/,Westmoreland
Pennsylvania,Allegheny County,Greater Pittsburgh Community Food Bank,412.460.3663,1 North Linden Street,Duquesne,PA,15110,,,,,www.pittsburghfoodbank.org/,https://www.pittsburghfoodbank.org/ways-to-give/,"Allegheny, Armstrong, Beaver, Butler, Cambria, Fayette, Greene, Indiana, Lawrence, Somerset, Washington"
Pennsylvania,Erie County,Second Harvest Food Bank of Northwest Pennsylvania,814.459.3663,1507 Grimm Drive,Erie,PA,16501,,,,,www.nwpafoodbank.org,https://nwpafoodbank.org/get-involved/donate-funds/,"Cameron, Clarion, Clearfield, Crawford, Elk, Erie, Forest, Jefferson, Mc Kean, Venango, Warren"
Pennsylvania,Dauphin County,Central Pennsylvania Food Bank,717.564.1700,3908 Corey Road,Harrisburg,PA,17109,,,,,www.centralpafoodbank.org,https://www.centralpafoodbank.org/ways-to-give/give-funds/,"Adams, Bedford, Blair, Bradford, Centre, Clearfield, Clinton, Columbia, Cumberland, Dauphin, Franklin, Fulton, Huntingdon, Juniata, Lancaster, Lebanon, Lycoming, Mifflin, Montour, Northumberland, Perry, Potter, Snyder, Sullivan, Tioga, Union, York"
Pennsylvania,Northampton County,Second Harvest Food Bank of Lehigh Valley and NE Pennsylvania,610.434.0875,6969 Silver Crest Road,Nazareth,PA,18064,,,,,www.shfblv.org,https://interland3.donorperfect.net/weblink/weblink.aspx?name=E98896&id=10,"Carbon, Lehigh, Monroe, Northampton, Pike, Wayne"
